Term	boolean	country	day	establishmentMeans	institutionCode	lifeStage	month	plateWell	processingLab	sequencingLab	sex	typeStatus	year
Description or Source	Yes or No	Taken from the INSDC country list: <a href='http://www.insdc.org/country.html' target='_blank'>http://www.insdc.org/country.html</a>	All possible days of the month.	Taken from the <a href='https://code.google.com/p/darwincore/wiki/Occurrence' target='_blank'>DarwinCore Occurence discussion page</a>.	The list of all institution codes from all active biorepositories at <a href='http://grbio.org/' target='_blank'>GRBio</a>.	Taken from the <a href='https://code.google.com/p/darwincore/wiki/Occurrence' target='_blank'>DarwinCore Occurence discussion page</a>.	All possible months (1-12).	All possible wells in a plate (A01 - H12) in proper format.	List of all processing labs from the BWP project.	List of all sequencing labs from the BWP project.	Taken from the <a href='https://code.google.com/p/darwincore/wiki/Occurrence' target='_blank'>DarwinCore Occurence discussion page</a>.	Taken from the <a href='https://code.google.com/p/darwincore/wiki/Occurrence' target='_blank'>DarwinCore Occurence discussion page</a>.	Range from 1900-2050 to ensure that years values are in the correct format.
List...	No	Afghanistan	1	native	A<IH>	zygote	1	A01	IPR-MBL	BecA-ILRI	unknowable	holotype	1900
	Yes	Albania	2	introduced	AA<IH>	embryo	2	A02	ICIPE	IITA	undetermined	paratype	1901
		Algeria	3	naturalised	AAFC-PRC	larva	3	A03	KWS	SAIAB	female	neotype	1902
		American Samoa	4	invasive	AAH<IH>	juvenile	4	A04	NMK-MGL	NZG	male	syntype	1903
		Andorra	5	managed	AAPI	adult	5	A05	NABDA	UJ	hermaphrodite	lectotype	1904
		Angola	6	uncertain	AAR<IH>	sporophyte	6	A06	UNIPORT	IBUNAM	gynandromorph	paralectotype	1905
		Anguilla	7		AAS<IH>	spore	7	A07	UNILAG			hapantotype	1906
		Antarctica	8		AASU<IH>	gametophyte	8	A08	SAIAB			other	1907
		Antigua and Barbuda	9		AAU	gamete	9	A09	NZG				1908
		Arctic Ocean	10		AAU<IH>	pupa	10	A10	UJ				1909
		Argentina	11		AAUB<IH>		11	A11	ECOSUR				1910
		Armenia	12		AAUF<IH>		12	A12	IBUNAM				1911
		Aruba	13		ABB			B01	CIBNOR				1912
		Ashmore and Cartier Islands	14		ABD<IH>			B02					1913
		Atlantic Ocean	15		ABDAM<IH>			B03					1914
		Australia	16		ABDC<IH>			B04					1915
		Austria	17		ABDF<IH>			B05					1916
		Azerbaijan	18		ABDH<IH>			B06					1917
		Bahamas	19		ABDM<IH>			B07					1918
		Bahrain	20		ABFM<IH>			B08					1919
		Baltic Sea	21		ABH<IH>			B09					1920
		Baker Island	22		ABI<IH>			B10					1921
		Bangladesh	23		ABKMI			B11					1922
		Barbados	24		ABL<IH>			B12					1923
		Bassas da India	25		ABN<IH>			C01					1924
		Belarus	26		ABO<IH>			C02					1925
		Belgium	27		ABRB			C03					1926
		Belize	28		ABRC			C04					1927
		Benin	29		ABRIICC			C05					1928
		Bermuda	30		ABRN<IH>			C06					1929
		Bhutan	31		ABS			C07					1930
		Bolivia			ABS<IH>			C08					1931
		Borneo			ABSH<IH>			C09					1932
		Bosnia and Herzegovina			ABSL<IH>			C10					1933
		Botswana			ABSM<IH>			C11					1934
		Bouvet Island			ABT<IH>			C12					1935
		Brazil			ABTC			D01					1936
		British Virgin Islands			ABU			D02					1937
		Brunei			AC<IH>			D03					1938
		Bulgaria			ACA-DC			D04					1939
		Burkina Faso			ACA<IH>			D05					1940
		Burundi			ACAD<IH>			D06					1941
		Cambodia			ACAM			D07					1942
		Cameroon			ACAP			D08					1943
		Canada			ACBC			D09					1944
		Cape Verde			ACBR			D10					1945
		Cayman Islands			ACBV			D11					1946
		Central African Republic			ACC<IH>			D12					1947
		Chad			ACCC			E01					1948
		Chile			ACD<IH>			E02					1949
		China			ACE			E03					1950
		Christmas Island			ACE<IH>			E04					1951
		Clipperton Island			ACH			E05					1952
		Cocos Islands			ACH<IH>			E06					1953
		Colombia			ACHE<IH>			E07					1954
		Comoros			ACK<IH>			E08					1955
		Cook Islands			ACM			E09					1956
		Coral Sea Islands			ACM<IH>			E10					1957
		Costa Rica			ACNB			E11					1958
		Cote d'Ivoire			ACNS			E12					1959
		Croatia			ACOI			F01					1960
		Cuba			ACOR<IH>			F02					1961
		Curacao			ACTC			F03					1962
		Cyprus			ACU<IH>			F04					1963
		Czech Republic			ACUNHC			F05					1964
		Democratic Republic of the Congo			AD<IH>			F06					1965
		Denmark			ADA<IH>			F07					1966
		Djibouti			ADMONT<IH>			F08					1967
		Dominica			ADO<IH>			F09					1968
		Dominican Republic			ADR<IH>			F10					1969
		East Timor			ADRZ<IH>			F11					1970
		Ecuador			ADSH			F12					1971
		Egypt			ADT<IH>			G01					1972
		El Salvador			ADU<IH>			G02					1973
		Equatorial Guinea			ADUG			G03					1974
		Eritrea			ADUZ			G04					1975
		Estonia			ADW<IH>			G05					1976
		Ethiopia			AEF<IH>			G06					1977
		Europa Island			AEI			G07					1978
		Falkland Islands (Islas Malvinas)			AEIC			G08					1979
		Faroe Islands			AES<IH>			G09					1980
		Fiji			AESB			G10					1981
		Finland			AFAQ			G11					1982
		France			AFES<IH>			G12					1983
		French Guiana			AFGMC			H01					1984
		French Polynesia			AFS<IH>			H02					1985
		French Southern and Antarctic Lands			AFSDU			H03					1986
		Gabon			AFTC			H04					1987
		Gambia			AGRITEC			H05					1988
		Gaza Strip			AGRL			H06					1989
		Georgia			AGUAT<IH>			H07					1990
		Germany			AH<IH>			H08					1991
		Ghana			AHBC			H09					1992
		Gibraltar			AHF			H10					1993
		Glorioso Islands			AHFH<IH>			H11					1994
		Greece			AHLDA			H12					1995
		Greenland			AHMA<IH>								1996
		Grenada			AHNU								1997
		Guadeloupe			AHS<IH>								1998
		Guam			AHU								1999
		Guatemala			AHUC<IH>								2000
		Guernsey			AIB<IH>								2001
		Guinea			AIBU<IH>								2002
		Guinea-Bissau			AICH<IH>								2003
		Guyana			AIM								2004
		Haiti			AIMS<IH>								2005
		Heard Island and McDonald Islands			AIS								2006
		Honduras			AISIY<IH>								2007
		Hong Kong			AIX<IH>								2008
		Howland Island			AJ								2009
		Hungary			AJBC<IH>								2010
		Iceland			AJOU<IH>								2011
		India			AK<IH>								2012
		Indian Ocean			AKPM<IH>								2013
		Indonesia			AKU								2014
		Iran			AKU<IH>								2015
		Iraq			AL<IH>								2016
		Ireland			ALA								2017
		Isle of Man			ALA<IH>								2018
		Israel			ALAJ<IH>								2019
		Italy			ALAM<IH>								2020
		Jamaica			ALB<IH>								2021
		Jan Mayen			ALBA<IH>								2022
		Japan			ALBC<IH>								2023
		Jarvis Island			ALBU<IH>								2024
		Jersey			ALCB<IH>								2025
		Johnston Atoll			ALCP								2026
		Jordan			ALD<IH>								2027
		Juan de Nova Island			ALEX<IH>								2028
		Kazakhstan			ALF<IH>								2029
		Kenya			ALGOBANK								2030
		Kerguelen Archipelago			ALGU<IH>								2031
		Kingman Reef			ALIRU								2032
		Kiribati			ALK<IH>								2033
		Kosovo			ALM								2034
		Kuwait			ALM<IH>								2035
		Kyrgyzstan			ALMA<IH>								2036
		Laos			ALME<IH>								2037
		Latvia			ALN<IH>								2038
		Lebanon			ALNHS<IH>								2039
		Lesotho			ALT<IH>								2040
		Liberia			ALTA<IH>								2041
		Libya			ALTB<IH>								2042
		Liechtenstein			ALU<IH>								2043
		Line Islands			AM								2044
		Lithuania			AMAL<IH>								2045
		Luxembourg			AMAZ<IH>								2046
		Macau			AMB								2047
		Macedonia			AMB<IH>								2048
		Madagascar			AMC								2049
		Malawi			AMCC								2050
		Malaysia			AMCL								
		Maldives			AMD<IH>								
		Mali			AMDE<IH>								
		Malta			AMES<IH>								
		Marshall Islands			AMG								
		Martinique			AMGS								
		Mauritania			AMH<IH>								
		Mauritius			AMIB								
		Mayotte			AMMRL								
		Mediterranean Sea			AMMS<IH>								
		Mexico			AMNH								
		Micronesia			AMNH<IH>								
		Midway Islands			AMNZ								
		Moldova			AMO<IH>								
		Monaco			AMP								
		Mongolia			AMP<IH>								
		Montenegro			AMSA								
		Montserrat			AMUZ								
		Morocco			ANA<IH>								
		Mozambique			ANACC								
		Myanmar			ANC<IH>								
		Namibia			ANCB								
		Nauru			AND<IH>								
		Navassa Island			ANDA<IH>								
		Nepal			ANDES								
		Netherlands			ANDES<IH>								
		New Caledonia			ANES<IH>								
		New Zealand			ANFM								
		Nicaragua			ANG<IH>								
		Niger			ANGU<IH>								
		Nigeria			ANGUC<IH>								
		Niue			ANH<IH>								
		Norfolk Island			ANHC<IH>								
		North Korea			ANIC								
		North Sea			ANK<IH>								
		Northern Mariana Islands			ANKO<IH>								
		Norway			ANLW								
		Oman			ANMR								
		Pacific Ocean			ANSM<IH>								
		Pakistan			ANSP								
		Palau			ANSP<IH>								
		Palmyra Atoll			ANT<IH>								
		Panama			ANTU<IH>								
		Papua New Guinea			ANU								
		Paracel Islands			ANU<IH>								
		Paraguay			ANUB<IH>								
		Peru			ANUC<IH>								
		Philippines			ANUG<IH>								
		Pitcairn Islands			ANWC								
		Poland			AO<IH>								
		Portugal			APCC								
		Puerto Rico			APCR<IH>								
		Qatar			APEI								
		Republic of the Congo			APH<IH>								
		Reunion			APHI								
		Romania			APIY<IH>								
		Ross Sea			APM<IH>								
		Russia			APMJ								
		Rwanda			APP<IH>								
		Saint Helena			APSC<IH>								
		Saint Kitts and Nevis			AQC<IH>								
		Saint Lucia			AQP<IH>								
		Saint Pierre and Miquelon			AQUI<IH>								
		Saint Vincent and the Grenadines			AR<IH>								
		Samoa			ARAGO<IH>								
		San Marino			ARAN<IH>								
		Sao Tome and Principe			ARB<IH>								
		Saudi Arabia			ARBH<IH>								
		Senegal			ARC								
		Serbia			ARC<IH>								
		Seychelles			ARCH<IH>								
		Sierra Leone			ARCM								
		Singapore			ARER								
		Sint Maarten			ARG<IH>								
		Slovakia			ARIZ<IH>								
		Slovenia			ARK								
		Solomon Islands			ARKH<IH>								
		Somalia			ARM<IH>								
		South Africa			ARMFN<IH>								
		South Georgia and the South Sandwich Islands			ARRI<IH>								
		South Korea			ARSEF<IH>								
		Southern Ocean			ARUN<IH>								
		Spain			AS								
		Spratly Islands			AS<IH>								
		Sri Lanka			ASAY								
		Sudan			ASC<IH>								
		Suriname			ASCC								
		Svalbard			ASCU								
		Swaziland			ASDM								
		Sweden			ASDM<IH>								
		Switzerland			ASE<IH>								
		Syria			ASH<IH>								
		Taiwan			ASI<IH>								
		Tajikistan			ASIB								
		Tanzania			ASINC								
		Tasman Sea			ASIO								
		Thailand			ASIZB								
		Togo			ASIZP								
		Tokelau			ASIZT								
